Date,Bar Name,Brand Name,Category,Total_Purchased_ml,Total_Consumed_ml,Total_Requested_ml,Potential_Lost_Demand_ml,Last_Closing_Balance_ml
2026-01-01,Pool Bar,Jose Cuervo,Tequila,0,1528,1528,0,16472
2026-01-01,Pool Bar,Kingfisher Premium,Beer,5850,8455,8455,0,3245
2026-01-01,Pool Bar,Smirnoff Vodka,Vodka,0,4132,4132,0,9045
2026-01-01,Rooftop Bar,Bacardi White,Rum,0,2388,2388,0,13794
2026-01-01,Rooftop Bar,Baileys,Liqueur,0,983,983,0,14767
2026-01-01,Rooftop Bar,Bombay Sapphire,Gin,0,3754,3754,0,9820
2026-01-01,Rooftop Bar,Heineken,Beer,0,5850,9053,3203,0
2026-01-01,Rooftop Bar,Hennessy,Brandy,0,0,0,0,16800
2026-01-01,Rooftop Bar,Jack Daniel's,Whisky,0,2228,2228,0,14272
2026-01-01,Rooftop Bar,Johnnie Walker Red,Whisky,0,4688,4688,0,7173
2026-01-01,Rooftop Bar,Jose Cuervo,Tequila,0,1476,1476,0,6024
2026-01-01,Rooftop Bar,Kingfisher Premium,Beer,13650,8959,8959,0,19353
2026-01-01,Rooftop Bar,Smirnoff Vodka,Vodka,0,5965,5965,0,13964
2026-01-01,Sky Lounge,Bacardi White,Rum,0,4166,4166,0,6334
2026-01-01,Sky Lounge,Baileys,Liqueur,0,1232,1232,0,10224
2026-01-01,Sky Lounge,Bombay Sapphire,Gin,0,3142,3142,0,12667
2026-01-01,Sky Lounge,Heineken,Beer,0,10124,10124,0,4176
2026-01-01,Sky Lounge,Hennessy,Brandy,0,688,688,0,6312
2026-01-01,Sky Lounge,Jack Daniel's,Whisky,0,2554,2554,0,10946
2026-01-01,Sky Lounge,Johnnie Walker Red,Whisky,0,4638,4638,0,6612
2026-01-01,Sky Lounge,Jose Cuervo,Tequila,0,1900,1900,0,7544
2026-01-01,Sky Lounge,Kingfisher Premium,Beer,0,9100,15238,6138,829
2026-01-01,Sky Lounge,Smirnoff Vodka,Vodka,0,4775,4775,0,8725
2026-01-02,Garden Bar,Bacardi White,Rum,0,2988,2988,0,7204
2026-01-02,Garden Bar,Baileys,Liqueur,0,943,943,0,5275
2026-01-02,Garden Bar,Bombay Sapphire,Gin,0,2326,2326,0,8656
2026-01-02,Garden Bar,Heineken,Beer,0,5303,8132,2829,0
2026-01-02,Garden Bar,Hennessy,Brandy,0,540,540,0,10935
2026-01-02,Garden Bar,Jack Daniel's,Whisky,0,2114,2114,0,4598
2026-01-02,Garden Bar,Johnnie Walker Red,Whisky,6750,3215,3215,0,9957
2026-01-02,Garden Bar,Jose Cuervo,Tequila,0,1522,1522,0,12884
2026-01-02,Garden Bar,Kingfisher Premium,Beer,13650,9915,9915,0,13930
2026-01-02,Garden Bar,Smirnoff Vodka,Vodka,0,3402,3402,0,2446
2026-01-02,Lobby Bar,Bacardi White,Rum,0,3895,3895,0,2854
2026-01-02,Lobby Bar,Baileys,Liqueur,0,681,681,0,6807
2026-01-02,Lobby Bar,Bombay Sapphire,Gin,0,2493,2493,0,7071
2026-01-02,Lobby Bar,Heineken,Beer,9750,8339,8339,0,15804
2026-01-02,Lobby Bar,Hennessy,Brandy,0,851,851,0,14042
2026-01-02,Lobby Bar,Jack Daniel's,Whisky,0,2009,2009,0,8746
2026-01-02,Lobby Bar,Johnnie Walker Red,Whisky,14250,3314,3314,0,15781
2026-01-02,Lobby Bar,Jose Cuervo,Tequila,0,1365,1365,0,8221
2026-01-02,Lobby Bar,Kingfisher Premium,Beer,0,5154,11464,6310,869
2026-01-02,Lobby Bar,Smirnoff Vodka,Vodka,0,4226,4226,0,6477
2026-01-02,Pool Bar,Bacardi White,Rum,0,3423,4108,685,324
2026-01-02,Pool Bar,Baileys,Liqueur,0,1126,1126,0,10841
2026-01-02,Pool Bar,Bombay Sapphire,Gin,0,2453,2453,0,9587
2026-01-02,Pool Bar,Heineken,Beer,7800,9799,9799,0,6277
2026-01-02,Pool Bar,Hennessy,Brandy,0,0,0,0,15397
2026-01-02,Pool Bar,Jack Daniel's,Whisky,0,3045,3045,0,9885
2026-01-02,Pool Bar,Johnnie Walker Red,Whisky,0,3971,5558,1587,0
2026-01-02,Pool Bar,Jose Cuervo,Tequila,0,1504,1504,0,15907
2026-01-02,Pool Bar,Kingfisher Premium,Beer,13000,11062,11062,0,5183
2026-01-02,Pool Bar,Smirnoff Vodka,Vodka,0,4681,4681,0,4828
2026-01-02,Rooftop Bar,Bacardi White,Rum,0,3990,3990,0,7872
2026-01-02,Rooftop Bar,Baileys,Liqueur,0,1217,1217,0,13550
2026-01-02,Rooftop Bar,Bombay Sapphire,Gin,0,4850,4850,0,4021
2026-01-02,Rooftop Bar,Heineken,Beer,0,0,14897,14897,0
2026-01-02,Rooftop Bar,Hennessy,Brandy,0,971,971,0,16735
2026-01-02,Rooftop Bar,Jack Daniel's,Whisky,0,2629,2629,0,11643
2026-01-02,Rooftop Bar,Johnnie Walker Red,Whisky,11250,5289,5289,0,11773
2026-01-02,Rooftop Bar,Jose Cuervo,Tequila,0,2473,2473,0,4734
2026-01-02,Rooftop Bar,Kingfisher Premium,Beer,0,15091,19913,4822,3292
2026-01-02,Rooftop Bar,Smirnoff Vodka,Vodka,0,7741,7741,0,7417
2026-01-02,Sky Lounge,Bacardi White,Rum,11250,6298,6298,0,15745
2026-01-02,Sky Lounge,Baileys,Liqueur,0,1559,1559,0,8868
2026-01-02,Sky Lounge,Bombay Sapphire,Gin,0,4082,4082,0,6276
2026-01-02,Sky Lounge,Heineken,Beer,12350,12551,12551,0,12259
2026-01-02,Sky Lounge,Hennessy,Brandy,0,1391,1391,0,6214
2026-01-02,Sky Lounge,Jack Daniel's,Whisky,0,2993,2993,0,7953
2026-01-02,Sky Lounge,Johnnie Walker Red,Whisky,0,5077,5077,0,2068
2026-01-02,Sky Lounge,Jose Cuervo,Tequila,0,2053,2053,0,4297
2026-01-02,Sky Lounge,Kingfisher Premium,Beer,0,0,24567,24567,0
2026-01-02,Sky Lounge,Smirnoff Vodka,Vodka,6750,6371,6371,0,9104
2026-01-03,Garden Bar,Bacardi White,Rum,0,2856,2856,0,1809
2026-01-03,Garden Bar,Baileys,Liqueur,0,918,918,0,4236
2026-01-03,Garden Bar,Bombay Sapphire,Gin,0,1896,1896,0,7835
2026-01-03,Garden Bar,Heineken,Beer,0,0,9824,9824,0
2026-01-03,Garden Bar,Hennessy,Brandy,0,973,973,0,9962
2026-01-03,Garden Bar,Jack Daniel's,Whisky,0,2416,2416,0,2886
2026-01-03,Garden Bar,Johnnie Walker Red,Whisky,0,4058,4058,0,4110
2026-01-03,Garden Bar,Jose Cuervo,Tequila,0,1635,1635,0,10547
2026-01-03,Garden Bar,Kingfisher Premium,Beer,0,10268,10268,0,7939
2026-01-03,Garden Bar,Smirnoff Vodka,Vodka,0,2446,3826,1380,0
2026-01-03,Lobby Bar,Bacardi White,Rum,0,2854,3870,1016,0
2026-01-03,Lobby Bar,Baileys,Liqueur,0,913,913,0,5894
2026-01-03,Lobby Bar,Bombay Sapphire,Gin,0,2411,2411,0,3909
2026-01-03,Lobby Bar,Heineken,Beer,13650,12037,12037,0,11192
2026-01-03,Lobby Bar,Hennessy,Brandy,0,1008,1008,0,12801
2026-01-03,Lobby Bar,Jack Daniel's,Whisky,0,3117,3117,0,5629
2026-01-03,Lobby Bar,Johnnie Walker Red,Whisky,0,4844,4844,0,10937
2026-01-03,Lobby Bar,Jose Cuervo,Tequila,0,2166,2166,0,5626
2026-01-03,Lobby Bar,Kingfisher Premium,Beer,0,0,9080,9080,0
2026-01-03,Lobby Bar,Smirnoff Vodka,Vodka,0,4324,4324,0,4609
2026-01-03,Pool Bar,Bacardi White,Rum,13500,4134,4134,0,9366
2026-01-03,Pool Bar,Baileys,Liqueur,0,1129,1129,0,9988
2026-01-03,Pool Bar,Bombay Sapphire,Gin,0,3516,3516,0,7899
2026-01-03,Pool Bar,Heineken,Beer,0,2557,11633,9076,1942
2026-01-03,Pool Bar,Hennessy,Brandy,0,988,988,0,14409
2026-01-03,Pool Bar,Jack Daniel's,Whisky,0,2680,2680,0,6816
2026-01-03,Pool Bar,Johnnie Walker Red,Whisky,6750,5628,5628,0,6161
2026-01-03,Pool Bar,Jose Cuervo,Tequila,0,2494,2494,0,12474
2026-01-03,Pool Bar,Kingfisher Premium,Beer,5850,11033,14063,3030,0
2026-01-03,Pool Bar,Smirnoff Vodka,Vodka,0,937,5898,4961,0
2026-01-03,Rooftop Bar,Bacardi White,Rum,12750,5127,5127,0,15495
2026-01-03,Rooftop Bar,Baileys,Liqueur,0,1821,1821,0,12622
2026-01-03,Rooftop Bar,Bombay Sapphire,Gin,9750,4023,4023,0,8373
2026-01-03,Rooftop Bar,Heineken,Beer,0,0,12787,12787,0
2026-01-03,Rooftop Bar,Hennessy,Brandy,0,1301,1301,0,15064
2026-01-03,Rooftop Bar,Jack Daniel's,Whisky,0,3314,3314,0,10062
2026-01-03,Rooftop Bar,Johnnie Walker Red,Whisky,0,6207,6207,0,6558
2026-01-03,Rooftop Bar,Jose Cuervo,Tequila,0,2688,2688,0,863
2026-01-03,Rooftop Bar,Kingfisher Premium,Beer,0,0,17327,17327,0
2026-01-03,Rooftop Bar,Smirnoff Vodka,Vodka,15000,9305,9305,0,10981
2026-01-03,Sky Lounge,Bacardi White,Rum,0,6029,6029,0,5257
2026-01-03,Sky Lounge,Baileys,Liqueur,0,1824,1824,0,6635
2026-01-03,Sky Lounge,Bombay Sapphire,Gin,12000,4201,4201,0,14815
2026-01-03,Sky Lounge,Heineken,Beer,7150,11125,18053,6928,0
2026-01-03,Sky Lounge,Hennessy,Brandy,0,1400,1400,0,3521
2026-01-03,Sky Lounge,Jack Daniel's,Whisky,0,4572,4572,0,3381
2026-01-03,Sky Lounge,Johnnie Walker Red,Whisky,11250,8732,8732,0,4053
2026-01-03,Sky Lounge,Jose Cuervo,Tequila,0,2119,2119,0,2178
2026-01-03,Sky Lounge,Kingfisher Premium,Beer,13000,13000,20008,7008,0
2026-01-03,Sky Lounge,Smirnoff Vodka,Vodka,0,6726,6726,0,2378
2026-01-04,Garden Bar,Bacardi White,Rum,8250,1412,1412,0,8647
2026-01-04,Garden Bar,Baileys,Liqueur,0,0,0,0,4236
2026-01-04,Garden Bar,Bombay Sapphire,Gin,0,2270,2270,0,5891
2026-01-04,Garden Bar,Heineken,Beer,0,0,4813,4813,0
2026-01-04,Garden Bar,Hennessy,Brandy,0,540,540,0,9797
2026-01-04,Garden Bar,Jack Daniel's,Whisky,15750,1412,1412,0,16520
2026-01-04,Garden Bar,Johnnie Walker Red,Whisky,0,2515,2515,0,511
2026-01-04,Garden Bar,Jose Cuervo,Tequila,0,931,931,0,9148
2026-01-04,Garden Bar,Kingfisher Premium,Beer,0,3662,8809,5147,0
2026-01-04,Garden Bar,Smirnoff Vodka,Vodka,12000,3345,3345,0,8655
2026-01-04,Lobby Bar,Bacardi White,Rum,0,0,2504,2504,0
2026-01-04,Lobby Bar,Baileys,Liqueur,0,790,790,0,5104
2026-01-04,Lobby Bar,Bombay Sapphire,Gin,0,2212,2212,0,3208
2026-01-04,Lobby Bar,Heineken,Beer,0,7656,7656,0,3536
2026-01-04,Lobby Bar,Hennessy,Brandy,0,598,598,0,11964
2026-01-04,Lobby Bar,Jack Daniel's,Whisky,0,1706,1706,0,3923
2026-01-04,Lobby Bar,Johnnie Walker Red,Whisky,0,2667,2667,0,8270
2026-01-04,Lobby Bar,Jose Cuervo,Tequila,0,1181,1181,0,4445
2026-01-04,Lobby Bar,Kingfisher Premium,Beer,12350,7604,7604,0,8186
2026-01-04,Lobby Bar,Smirnoff Vodka,Vodka,0,2153,3114,961,0
2026-01-04,Pool Bar,Bacardi White,Rum,0,3090,3090,0,6276
2026-01-04,Pool Bar,Baileys,Liqueur,0,952,952,0,8760
2026-01-04,Pool Bar,Bombay Sapphire,Gin,0,2607,2607,0,3464
2026-01-04,Pool Bar,Heineken,Beer,9750,6854,6854,0,2896
2026-01-04,Pool Bar,Hennessy,Brandy,0,754,754,0,14114
2026-01-04,Pool Bar,Jack Daniel's,Whisky,0,2627,2627,0,4189
2026-01-04,Pool Bar,Johnnie Walker Red,Whisky,6000,2685,2685,0,6210
2026-01-04,Pool Bar,Jose Cuervo,Tequila,0,1739,1739,0,10735
2026-01-04,Pool Bar,Kingfisher Premium,Beer,0,0,12305,12305,0
2026-01-04,Pool Bar,Smirnoff Vodka,Vodka,0,0,4568,4568,0
2026-01-04,Rooftop Bar,Bacardi White,Rum,0,4665,4665,0,10830
2026-01-04,Rooftop Bar,Baileys,Liqueur,0,829,829,0,11298
2026-01-04,Rooftop Bar,Bombay Sapphire,Gin,0,2554,2554,0,5819
2026-01-04,Rooftop Bar,Heineken,Beer,0,0,9892,9892,0
2026-01-04,Rooftop Bar,Hennessy,Brandy,0,1011,1011,0,14031
2026-01-04,Rooftop Bar,Jack Daniel's,Whisky,0,2528,2528,0,6929
2026-01-04,Rooftop Bar,Johnnie Walker Red,Whisky,7500,5088,5088,0,10159
2026-01-04,Rooftop Bar,Jose Cuervo,Tequila,0,863,1824,961,353
2026-01-04,Rooftop Bar,Kingfisher Premium,Beer,12350,12350,14942,2592,0
2026-01-04,Rooftop Bar,Smirnoff Vodka,Vodka,0,4993,4993,0,4733
2026-01-04,Sky Lounge,Bacardi White,Rum,9000,5083,5083,0,9174
2026-01-04,Sky Lounge,Baileys,Liqueur,0,0,0,0,6635
2026-01-04,Sky Lounge,Bombay Sapphire,Gin,0,3036,3036,0,11039
2026-01-04,Sky Lounge,Heineken,Beer,0,0,8511,8511,0
2026-01-04,Sky Lounge,Hennessy,Brandy,0,944,944,0,2577
2026-01-04,Sky Lounge,Jack Daniel's,Whisky,7500,3066,3066,0,9672
2026-01-04,Sky Lounge,Johnnie Walker Red,Whisky,0,4053,4851,798,936
2026-01-04,Sky Lounge,Jose Cuervo,Tequila,9000,2718,2718,0,11082
2026-01-04,Sky Lounge,Kingfisher Premium,Beer,13650,13650,17802,4152,0
2026-01-04,Sky Lounge,Smirnoff Vodka,Vodka,0,2378,6101,3723,0
2026-01-05,Garden Bar,Bacardi White,Rum,0,1998,1998,0,6649
2026-01-05,Garden Bar,Baileys,Liqueur,0,409,409,0,3827
2026-01-05,Garden Bar,Bombay Sapphire,Gin,0,892,892,0,3598
2026-01-05,Garden Bar,Heineken,Beer,0,0,3651,3651,0
2026-01-05,Garden Bar,Hennessy,Brandy,0,455,455,0,9201
2026-01-05,Garden Bar,Jack Daniel's,Whisky,0,1050,1050,0,15470
2026-01-05,Garden Bar,Johnnie Walker Red,Whisky,7500,2133,2133,0,5878
2026-01-05,Garden Bar,Jose Cuervo,Tequila,0,864,864,0,8379
2026-01-05,Garden Bar,Kingfisher Premium,Beer,11700,4860,4860,0,9362
2026-01-05,Garden Bar,Smirnoff Vodka,Vodka,0,2069,2069,0,6586
2026-01-05,Lobby Bar,Bacardi White,Rum,0,0,1782,1782,0
2026-01-05,Lobby Bar,Baileys,Liqueur,0,0,0,0,5104
2026-01-05,Lobby Bar,Bombay Sapphire,Gin,0,1697,1741,44,42
2026-01-05,Lobby Bar,Heineken,Beer,0,3536,3934,398,0
2026-01-05,Lobby Bar,Hennessy,Brandy,0,371,371,0,11764
2026-01-05,Lobby Bar,Jack Daniel's,Whisky,0,1628,1628,0,2975
2026-01-05,Lobby Bar,Johnnie Walker Red,Whisky,0,2485,2485,0,5785
2026-01-05,Lobby Bar,Jose Cuervo,Tequila,0,924,924,0,3868
2026-01-05,Lobby Bar,Kingfisher Premium,Beer,0,4746,6813,2067,0
2026-01-05,Lobby Bar,Smirnoff Vodka,Vodka,0,0,2823,2823,0
2026-01-05,Pool Bar,Bacardi White,Rum,0,1966,1966,0,4310
2026-01-05,Pool Bar,Baileys,Liqueur,0,800,800,0,8410
2026-01-05,Pool Bar,Bombay Sapphire,Gin,0,1944,1944,0,1520
2026-01-05,Pool Bar,Heineken,Beer,5200,7338,7338,0,2378
2026-01-05,Pool Bar,Hennessy,Brandy,0,0,0,0,13655
2026-01-05,Pool Bar,Jack Daniel's,Whisky,0,1519,1519,0,2670
2026-01-05,Pool Bar,Johnnie Walker Red,Whisky,0,1623,1623,0,3230
2026-01-05,Pool Bar,Jose Cuervo,Tequila,0,1250,1250,0,9485
2026-01-05,Pool Bar,Kingfisher Premium,Beer,0,0,7448,7448,0
2026-01-05,Pool Bar,Smirnoff Vodka,Vodka,15750,3063,3063,0,13208
2026-01-05,Rooftop Bar,Bacardi White,Rum,0,3010,3010,0,10593
2026-01-05,Rooftop Bar,Baileys,Liqueur,0,785,785,0,10115
2026-01-05,Rooftop Bar,Bombay Sapphire,Gin,0,2145,2145,0,3674
2026-01-05,Rooftop Bar,Heineken,Beer,0,0,6517,6517,0
2026-01-05,Rooftop Bar,Hennessy,Brandy,0,696,696,0,12821
2026-01-05,Rooftop Bar,Jack Daniel's,Whisky,0,1873,1873,0,3928
2026-01-05,Rooftop Bar,Johnnie Walker Red,Whisky,0,3033,3033,0,4945
2026-01-05,Rooftop Bar,Jose Cuervo,Tequila,13500,1571,1571,0,11929
2026-01-05,Rooftop Bar,Kingfisher Premium,Beer,0,0,8865,8865,0
2026-01-05,Rooftop Bar,Smirnoff Vodka,Vodka,8250,3072,3072,0,8674
2026-01-05,Sky Lounge,Bacardi White,Rum,0,3379,3379,0,6533
2026-01-05,Sky Lounge,Baileys,Liqueur,0,1052,1052,0,5583
2026-01-05,Sky Lounge,Bombay Sapphire,Gin,0,2772,2772,0,8267
2026-01-05,Sky Lounge,Heineken,Beer,13000,8161,8161,0,4839
2026-01-05,Sky Lounge,Hennessy,Brandy,0,792,792,0,2180
2026-01-05,Sky Lounge,Jack Daniel's,Whisky,0,2425,2425,0,7507
2026-01-05,Sky Lounge,Johnnie Walker Red,Whisky,0,0,4153,4153,0
2026-01-05,Sky Lounge,Jose Cuervo,Tequila,0,1580,1580,0,6880
2026-01-05,Sky Lounge,Kingfisher Premium,Beer,7150,7150,10937,3787,0
2026-01-05,Sky Lounge,Smirnoff Vodka,Vodka,0,0,4777,4777,0
2026-01-06,Garden Bar,Bacardi White,Rum,0,2050,2050,0,6523
2026-01-06,Garden Bar,Baileys,Liqueur,0,385,385,0,3442
2026-01-06,Garden Bar,Bombay Sapphire,Gin,0,1495,1495,0,2103
2026-01-06,Garden Bar,Heineken,Beer,13000,4733,4733,0,8267
2026-01-06,Garden Bar,Hennessy,Brandy,0,0,0,0,8967
2026-01-06,Garden Bar,Jack Daniel's,Whisky,0,1685,1685,0,13785
2026-01-06,Garden Bar,Johnnie Walker Red,Whisky,0,1675,1675,0,4203
2026-01-06,Garden Bar,Jose Cuervo,Tequila,0,876,876,0,7408
2026-01-06,Garden Bar,Kingfisher Premium,Beer,0,6200,6200,0,640
2026-01-06,Garden Bar,Smirnoff Vodka,Vodka,0,3100,3100,0,3486
2026-01-06,Lobby Bar,Bacardi White,Rum,10500,1527,1527,0,8973
2026-01-06,Lobby Bar,Baileys,Liqueur,0,601,601,0,5013
2026-01-06,Lobby Bar,Bombay Sapphire,Gin,0,0,1132,1132,0
2026-01-06,Lobby Bar,Heineken,Beer,5850,3565,3565,0,2285
2026-01-06,Lobby Bar,Hennessy,Brandy,0,458,458,0,10993
2026-01-06,Lobby Bar,Jack Daniel's,Whisky,0,1429,1429,0,1985
2026-01-06,Lobby Bar,Johnnie Walker Red,Whisky,0,2616,2616,0,4976
2026-01-06,Lobby Bar,Jose Cuervo,Tequila,0,854,854,0,2667
2026-01-06,Lobby Bar,Kingfisher Premium,Beer,11700,9027,9027,0,2673
2026-01-06,Lobby Bar,Smirnoff Vodka,Vodka,0,0,2466,2466,0
2026-01-06,Pool Bar,Bacardi White,Rum,0,2240,2240,0,2070
2026-01-06,Pool Bar,Baileys,Liqueur,0,707,707,0,7253
2026-01-06,Pool Bar,Bombay Sapphire,Gin,9750,1608,1608,0,9662
2026-01-06,Pool Bar,Heineken,Beer,0,758,6345,5587,0
2026-01-06,Pool Bar,Hennessy,Brandy,0,592,592,0,13063
2026-01-06,Pool Bar,Jack Daniel's,Whisky,0,1631,1631,0,1039
2026-01-06,Pool Bar,Johnnie Walker Red,Whisky,0,2814,3251,437,2425
2026-01-06,Pool Bar,Jose Cuervo,Tequila,0,1409,1409,0,8076
2026-01-06,Pool Bar,Kingfisher Premium,Beer,0,0,7947,7947,0
2026-01-06,Pool Bar,Smirnoff Vodka,Vodka,0,3231,3231,0,9456
2026-01-06,Rooftop Bar,Bacardi White,Rum,0,3332,3332,0,5044
2026-01-06,Rooftop Bar,Baileys,Liqueur,0,940,940,0,9293
2026-01-06,Rooftop Bar,Bombay Sapphire,Gin,15000,2884,2884,0,15790
2026-01-06,Rooftop Bar,Heineken,Beer,0,0,7989,7989,0
2026-01-06,Rooftop Bar,Hennessy,Brandy,0,830,830,0,11991
2026-01-06,Rooftop Bar,Jack Daniel's,Whisky,0,2412,2412,0,1516
2026-01-06,Rooftop Bar,Johnnie Walker Red,Whisky,15000,3084,3084,0,17780
2026-01-06,Rooftop Bar,Jose Cuervo,Tequila,0,1548,1548,0,10381
2026-01-06,Rooftop Bar,Kingfisher Premium,Beer,0,0,9919,9919,0
2026-01-06,Rooftop Bar,Smirnoff Vodka,Vodka,0,3808,3808,0,5424
2026-01-06,Sky Lounge,Bacardi White,Rum,0,3592,3592,0,3745
2026-01-06,Sky Lounge,Baileys,Liqueur,0,1037,1037,0,4546
2026-01-06,Sky Lounge,Bombay Sapphire,Gin,0,3368,3368,0,4899
2026-01-06,Sky Lounge,Heineken,Beer,11050,10469,10469,0,5420
2026-01-06,Sky Lounge,Hennessy,Brandy,0,629,629,0,1579
2026-01-06,Sky Lounge,Jack Daniel's,Whisky,0,2462,2462,0,2928
2026-01-06,Sky Lounge,Johnnie Walker Red,Whisky,0,0,3849,3849,0
2026-01-06,Sky Lounge,Jose Cuervo,Tequila,0,1608,1608,0,6651
2026-01-06,Sky Lounge,Kingfisher Premium,Beer,0,0,11857,11857,0
2026-01-06,Sky Lounge,Smirnoff Vodka,Vodka,0,0,4979,4979,0
2026-01-07,Garden Bar,Bacardi White,Rum,0,1939,1939,0,3628
2026-01-07,Garden Bar,Baileys,Liqueur,0,684,684,0,2758
2026-01-07,Garden Bar,Bombay Sapphire,Gin,0,1167,1167,0,936
2026-01-07,Garden Bar,Heineken,Beer,0,4757,4757,0,6335
2026-01-07,Garden Bar,Hennessy,Brandy,0,455,455,0,8699
2026-01-07,Garden Bar,Jack Daniel's,Whisky,0,1070,1070,0,12715
2026-01-07,Garden Bar,Johnnie Walker Red,Whisky,0,1953,1953,0,2250
2026-01-07,Garden Bar,Jose Cuervo,Tequila,0,1067,1067,0,6341
2026-01-07,Garden Bar,Kingfisher Premium,Beer,0,640,5862,5222,0
2026-01-07,Garden Bar,Smirnoff Vodka,Vodka,8250,2705,2705,0,11156
2026-01-07,Lobby Bar,Bacardi White,Rum,0,2351,2351,0,7242
2026-01-07,Lobby Bar,Baileys,Liqueur,0,857,857,0,4161
2026-01-07,Lobby Bar,Bombay Sapphire,Gin,0,0,1952,1952,0
2026-01-07,Lobby Bar,Heineken,Beer,0,2285,6004,3719,0
2026-01-07,Lobby Bar,Hennessy,Brandy,0,0,0,0,10969
2026-01-07,Lobby Bar,Jack Daniel's,Whisky,0,866,1470,604,0
2026-01-07,Lobby Bar,Johnnie Walker Red,Whisky,0,2111,2111,0,1587
2026-01-07,Lobby Bar,Jose Cuervo,Tequila,0,956,956,0,1711
2026-01-07,Lobby Bar,Kingfisher Premium,Beer,7800,6365,6365,0,8253
2026-01-07,Lobby Bar,Smirnoff Vodka,Vodka,0,0,2690,2690,0
2026-01-07,Pool Bar,Bacardi White,Rum,0,2070,2860,790,0
2026-01-07,Pool Bar,Baileys,Liqueur,0,528,528,0,6771
2026-01-07,Pool Bar,Bombay Sapphire,Gin,0,2068,2068,0,7594
2026-01-07,Pool Bar,Heineken,Beer,0,0,5989,5989,0
2026-01-07,Pool Bar,Hennessy,Brandy,0,573,573,0,12761
2026-01-07,Pool Bar,Jack Daniel's,Whisky,0,1039,1846,807,0
2026-01-07,Pool Bar,Johnnie Walker Red,Whisky,0,0,3385,3385,0
2026-01-07,Pool Bar,Jose Cuervo,Tequila,0,909,909,0,7167
2026-01-07,Pool Bar,Kingfisher Premium,Beer,0,0,8763,8763,0
2026-01-07,Pool Bar,Smirnoff Vodka,Vodka,0,3257,3257,0,7927
2026-01-07,Rooftop Bar,Bacardi White,Rum,13500,2816,2816,0,15172
2026-01-07,Rooftop Bar,Baileys,Liqueur,0,882,882,0,8293
2026-01-07,Rooftop Bar,Bombay Sapphire,Gin,0,2282,2282,0,13508
2026-01-07,Rooftop Bar,Heineken,Beer,0,0,8281,8281,0
2026-01-07,Rooftop Bar,Hennessy,Brandy,0,722,722,0,11269
2026-01-07,Rooftop Bar,Jack Daniel's,Whisky,7500,2301,2301,0,6715
2026-01-07,Rooftop Bar,Johnnie Walker Red,Whisky,0,4491,4491,0,12370
2026-01-07,Rooftop Bar,Jose Cuervo,Tequila,0,1784,1784,0,8597
2026-01-07,Rooftop Bar,Kingfisher Premium,Beer,7150,7150,8545,1395,0
2026-01-07,Rooftop Bar,Smirnoff Vodka,Vodka,0,4797,4797,0,69
2026-01-07,Sky Lounge,Bacardi White,Rum,0,2203,3599,1396,0
2026-01-07,Sky Lounge,Baileys,Liqueur,0,0,0,0,4546
