Date Time Served,Bar Name,Brand Name,Category,Bottle Size (ml),Opening Balance (ml),Purchase (ml),Consumed (ml),Closing Balance (ml),Requested Demand (ml),Potential Lost Demand (ml),Date,Day of Week,Conservation Check
2026-02-01 23:35:00,Garden Bar,Bacardi White,Rum,750,4487,0,973,3514,973,0,2026-02-01,Sunday,True
2026-02-02 15:23:00,Garden Bar,Bacardi White,Rum,750,2697,0,623,2074,623,0,2026-02-02,Monday,True
2026-02-02 18:49:00,Garden Bar,Bacardi White,Rum,750,3514,0,817,2697,817,0,2026-02-02,Monday,True
2026-02-02 23:27:00,Garden Bar,Bacardi White,Rum,750,2074,0,272,1802,272,0,2026-02-02,Monday,True
2026-02-03 10:04:00,Garden Bar,Bacardi White,Rum,750,15833,0,689,15144,689,0,2026-02-03,Tuesday,True
2026-02-03 13:19:00,Garden Bar,Bacardi White,Rum,750,15923,0,90,15833,90,0,2026-02-03,Tuesday,True
2026-02-03 15:44:00,Garden Bar,Bacardi White,Rum,750,1802,14250,129,15923,129,0,2026-02-03,Tuesday,True
2026-02-03 18:53:00,Garden Bar,Bacardi White,Rum,750,15144,0,789,14355,789,0,2026-02-03,Tuesday,True
2026-02-04 12:29:00,Garden Bar,Bacardi White,Rum,750,13754,0,161,13593,161,0,2026-02-04,Wednesday,True
2026-02-04 13:53:00,Garden Bar,Bacardi White,Rum,750,14355,0,464,13891,464,0,2026-02-04,Wednesday,True
2026-02-04 15:59:00,Garden Bar,Bacardi White,Rum,750,13891,0,137,13754,137,0,2026-02-04,Wednesday,True
2026-02-04 19:24:00,Garden Bar,Bacardi White,Rum,750,13593,0,1277,12316,1277,0,2026-02-04,Wednesday,True
2026-02-05 15:47:00,Garden Bar,Bacardi White,Rum,750,11299,0,470,10829,470,0,2026-02-05,Thursday,True
2026-02-05 21:23:00,Garden Bar,Bacardi White,Rum,750,10829,0,755,10074,755,0,2026-02-05,Thursday,True
2026-02-05 21:52:00,Garden Bar,Bacardi White,Rum,750,11804,0,505,11299,505,0,2026-02-05,Thursday,True
2026-02-05 22:30:00,Garden Bar,Bacardi White,Rum,750,12316,0,512,11804,512,0,2026-02-05,Thursday,True
2026-02-06 13:18:00,Garden Bar,Bacardi White,Rum,750,8857,0,500,8357,500,0,2026-02-06,Friday,True
2026-02-06 16:40:00,Garden Bar,Bacardi White,Rum,750,8357,0,265,8092,265,0,2026-02-06,Friday,True
2026-02-06 21:05:00,Garden Bar,Bacardi White,Rum,750,8092,0,1410,6682,1410,0,2026-02-06,Friday,True
2026-02-06 23:22:00,Garden Bar,Bacardi White,Rum,750,10074,0,1217,8857,1217,0,2026-02-06,Friday,True
2026-02-07 18:14:00,Garden Bar,Bacardi White,Rum,750,4510,0,258,4252,258,0,2026-02-07,Saturday,True
2026-02-07 19:47:00,Garden Bar,Bacardi White,Rum,750,4907,0,397,4510,397,0,2026-02-07,Saturday,True
2026-02-07 22:12:00,Garden Bar,Bacardi White,Rum,750,6682,0,1491,5191,1491,0,2026-02-07,Saturday,True
2026-02-07 23:14:00,Garden Bar,Bacardi White,Rum,750,5191,0,284,4907,284,0,2026-02-07,Saturday,True
2026-02-08 13:21:00,Garden Bar,Bacardi White,Rum,750,4252,0,1358,2894,1358,0,2026-02-08,Sunday,True
2026-02-08 21:56:00,Garden Bar,Bacardi White,Rum,750,2106,0,316,1790,316,0,2026-02-08,Sunday,True
2026-02-08 22:57:00,Garden Bar,Bacardi White,Rum,750,2894,0,788,2106,788,0,2026-02-08,Sunday,True
2026-02-09 11:56:00,Garden Bar,Bacardi White,Rum,750,1599,0,597,1002,597,0,2026-02-09,Monday,True
2026-02-09 22:10:00,Garden Bar,Bacardi White,Rum,750,1790,0,79,1711,79,0,2026-02-09,Monday,True
2026-02-09 23:15:00,Garden Bar,Bacardi White,Rum,750,1002,0,539,463,539,0,2026-02-09,Monday,True
2026-02-09 23:29:00,Garden Bar,Bacardi White,Rum,750,1711,0,112,1599,112,0,2026-02-09,Monday,True
2026-02-10 10:26:00,Garden Bar,Bacardi White,Rum,750,6913,0,51,6862,51,0,2026-02-10,Tuesday,True
2026-02-10 19:36:00,Garden Bar,Bacardi White,Rum,750,7468,0,355,7113,355,0,2026-02-10,Tuesday,True
2026-02-10 19:52:00,Garden Bar,Bacardi White,Rum,750,6862,0,726,6136,726,0,2026-02-10,Tuesday,True
2026-02-10 20:05:00,Garden Bar,Bacardi White,Rum,750,463,7500,495,7468,495,0,2026-02-10,Tuesday,True
2026-02-10 21:43:00,Garden Bar,Bacardi White,Rum,750,7113,0,200,6913,200,0,2026-02-10,Tuesday,True
2026-02-11 14:37:00,Garden Bar,Bacardi White,Rum,750,5815,0,1085,4730,1085,0,2026-02-11,Wednesday,True
2026-02-11 22:16:00,Garden Bar,Bacardi White,Rum,750,6136,0,321,5815,321,0,2026-02-11,Wednesday,True
2026-02-11 23:18:00,Garden Bar,Bacardi White,Rum,750,4730,0,601,4129,601,0,2026-02-11,Wednesday,True
2026-02-12 14:49:00,Garden Bar,Bacardi White,Rum,750,4129,0,130,3999,130,0,2026-02-12,Thursday,True
2026-02-12 16:34:00,Garden Bar,Bacardi White,Rum,750,3164,0,302,2862,302,0,2026-02-12,Thursday,True
2026-02-12 23:29:00,Garden Bar,Bacardi White,Rum,750,3999,0,835,3164,835,0,2026-02-12,Thursday,True
2026-02-12 23:52:00,Garden Bar,Bacardi White,Rum,750,2862,0,675,2187,675,0,2026-02-12,Thursday,True
2026-02-13 17:56:00,Garden Bar,Bacardi White,Rum,750,2187,0,1381,806,1381,0,2026-02-13,Friday,True
2026-02-13 23:21:00,Garden Bar,Bacardi White,Rum,750,806,0,806,0,1944,1138,2026-02-13,Friday,True
2026-02-14 13:29:00,Garden Bar,Bacardi White,Rum,750,0,12000,878,11122,878,0,2026-02-14,Saturday,True
2026-02-14 14:50:00,Garden Bar,Bacardi White,Rum,750,10133,0,892,9241,892,0,2026-02-14,Saturday,True
2026-02-14 17:48:00,Garden Bar,Bacardi White,Rum,750,11122,0,989,10133,989,0,2026-02-14,Saturday,True
2026-02-14 21:59:00,Garden Bar,Bacardi White,Rum,750,9241,0,348,8893,348,0,2026-02-14,Saturday,True
2026-02-15 11:47:00,Garden Bar,Bacardi White,Rum,750,8893,0,821,8072,821,0,2026-02-15,Sunday,True
2026-02-15 23:12:00,Garden Bar,Bacardi White,Rum,750,8072,0,1967,6105,1967,0,2026-02-15,Sunday,True
2026-02-16 15:27:00,Garden Bar,Bacardi White,Rum,750,6105,0,322,5783,322,0,2026-02-16,Monday,True
2026-02-16 18:03:00,Garden Bar,Bacardi White,Rum,750,5783,0,640,5143,640,0,2026-02-16,Monday,True
2026-02-16 18:59:00,Garden Bar,Bacardi White,Rum,750,4897,0,749,4148,749,0,2026-02-16,Monday,True
2026-02-16 19:22:00,Garden Bar,Bacardi White,Rum,750,5143,0,246,4897,246,0,2026-02-16,Monday,True
2026-02-17 13:25:00,Garden Bar,Bacardi White,Rum,750,3570,0,709,2861,709,0,2026-02-17,Tuesday,True
2026-02-17 20:55:00,Garden Bar,Bacardi White,Rum,750,2861,0,262,2599,262,0,2026-02-17,Tuesday,True
2026-02-17 23:10:00,Garden Bar,Bacardi White,Rum,750,4148,0,578,3570,578,0,2026-02-17,Tuesday,True
2026-02-18 15:58:00,Garden Bar,Bacardi White,Rum,750,2599,0,756,1843,756,0,2026-02-18,Wednesday,True
2026-02-18 15:59:00,Garden Bar,Bacardi White,Rum,750,1268,0,305,963,305,0,2026-02-18,Wednesday,True
2026-02-18 19:22:00,Garden Bar,Bacardi White,Rum,750,1829,0,561,1268,561,0,2026-02-18,Wednesday,True
2026-02-18 21:10:00,Garden Bar,Bacardi White,Rum,750,1843,0,14,1829,14,0,2026-02-18,Wednesday,True
2026-02-18 23:39:00,Garden Bar,Bacardi White,Rum,750,963,0,963,0,983,20,2026-02-18,Wednesday,True
2026-02-19 14:29:00,Garden Bar,Bacardi White,Rum,750,14909,0,666,14243,666,0,2026-02-19,Thursday,True
2026-02-19 21:17:00,Garden Bar,Bacardi White,Rum,750,14166,0,488,13678,488,0,2026-02-19,Thursday,True
2026-02-19 21:50:00,Garden Bar,Bacardi White,Rum,750,14243,0,77,14166,77,0,2026-02-19,Thursday,True
2026-02-19 22:59:00,Garden Bar,Bacardi White,Rum,750,0,15750,841,14909,841,0,2026-02-19,Thursday,True
2026-02-20 17:55:00,Garden Bar,Bacardi White,Rum,750,13678,0,952,12726,952,0,2026-02-20,Friday,True
2026-02-20 20:12:00,Garden Bar,Bacardi White,Rum,750,12726,0,1134,11592,1134,0,2026-02-20,Friday,True
2026-02-20 22:49:00,Garden Bar,Bacardi White,Rum,750,11592,0,764,10828,764,0,2026-02-20,Friday,True
2026-02-21 11:47:00,Garden Bar,Bacardi White,Rum,750,10108,0,541,9567,541,0,2026-02-21,Saturday,True
2026-02-21 16:23:00,Garden Bar,Bacardi White,Rum,750,9567,0,698,8869,698,0,2026-02-21,Saturday,True
2026-02-21 19:26:00,Garden Bar,Bacardi White,Rum,750,10828,0,720,10108,720,0,2026-02-21,Saturday,True
2026-02-21 21:20:00,Garden Bar,Bacardi White,Rum,750,8869,0,966,7903,966,0,2026-02-21,Saturday,True
2026-02-22 14:17:00,Garden Bar,Bacardi White,Rum,750,7903,0,1335,6568,1335,0,2026-02-22,Sunday,True
2026-02-22 18:52:00,Garden Bar,Bacardi White,Rum,750,6568,0,214,6354,214,0,2026-02-22,Sunday,True
2026-02-22 18:56:00,Garden Bar,Bacardi White,Rum,750,6354,0,514,5840,514,0,2026-02-22,Sunday,True
2026-02-23 12:54:00,Garden Bar,Bacardi White,Rum,750,5840,0,604,5236,604,0,2026-02-23,Monday,True
2026-02-23 18:22:00,Garden Bar,Bacardi White,Rum,750,5236,0,1303,3933,1303,0,2026-02-23,Monday,True
2026-02-24 13:49:00,Garden Bar,Bacardi White,Rum,750,3028,0,148,2880,148,0,2026-02-24,Tuesday,True
2026-02-24 18:08:00,Garden Bar,Bacardi White,Rum,750,3639,0,611,3028,611,0,2026-02-24,Tuesday,True
2026-02-24 19:55:00,Garden Bar,Bacardi White,Rum,750,2880,0,337,2543,337,0,2026-02-24,Tuesday,True
2026-02-24 20:47:00,Garden Bar,Bacardi White,Rum,750,3933,0,294,3639,294,0,2026-02-24,Tuesday,True
2026-02-24 21:20:00,Garden Bar,Bacardi White,Rum,750,2543,0,540,2003,540,0,2026-02-24,Tuesday,True
2026-02-25 16:07:00,Garden Bar,Bacardi White,Rum,750,2003,11250,791,12462,791,0,2026-02-25,Wednesday,True
2026-02-25 23:17:00,Garden Bar,Bacardi White,Rum,750,12462,0,995,11467,995,0,2026-02-25,Wednesday,True
2026-02-25 23:51:00,Garden Bar,Bacardi White,Rum,750,11467,0,267,11200,267,0,2026-02-25,Wednesday,True
2026-02-26 13:15:00,Garden Bar,Bacardi White,Rum,750,11200,0,253,10947,253,0,2026-02-26,Thursday,True
2026-02-26 17:15:00,Garden Bar,Bacardi White,Rum,750,10947,0,1259,9688,1259,0,2026-02-26,Thursday,True
2026-02-26 20:00:00,Garden Bar,Bacardi White,Rum,750,9592,0,603,8989,603,0,2026-02-26,Thursday,True
2026-02-26 20:53:00,Garden Bar,Bacardi White,Rum,750,9688,0,96,9592,96,0,2026-02-26,Thursday,True
2026-02-27 11:23:00,Garden Bar,Bacardi White,Rum,750,8989,0,256,8733,256,0,2026-02-27,Friday,True
2026-02-27 13:28:00,Garden Bar,Bacardi White,Rum,750,8733,0,1624,7109,1624,0,2026-02-27,Friday,True
2026-02-27 18:22:00,Garden Bar,Bacardi White,Rum,750,7109,0,1685,5424,1685,0,2026-02-27,Friday,True
2026-02-28 14:58:00,Garden Bar,Bacardi White,Rum,750,4027,0,1253,2774,1253,0,2026-02-28,Saturday,True
2026-02-28 19:09:00,Garden Bar,Bacardi White,Rum,750,5424,0,1397,4027,1397,0,2026-02-28,Saturday,True
2026-02-28 19:26:00,Garden Bar,Bacardi White,Rum,750,2774,0,595,2179,595,0,2026-02-28,Saturday,True
2026-03-01 11:53:00,Garden Bar,Bacardi White,Rum,750,1220,0,604,616,604,0,2026-03-01,Sunday,True
2026-03-01 13:37:00,Garden Bar,Bacardi White,Rum,750,1471,0,251,1220,251,0,2026-03-01,Sunday,True
2026-03-01 13:41:00,Garden Bar,Bacardi White,Rum,750,2179,0,708,1471,708,0,2026-03-01,Sunday,True
2026-03-01 22:06:00,Garden Bar,Bacardi White,Rum,750,616,0,616,0,810,194,2026-03-01,Sunday,True
2026-03-02 11:11:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,340,340,2026-03-02,Monday,True
2026-03-02 17:21:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,630,630,2026-03-02,Monday,True
2026-03-02 19:33:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,302,302,2026-03-02,Monday,True
2026-03-02 23:26:00,Garden Bar,Bacardi White,Rum,750,0,0,0,0,296,296,2026-03-02,Monday,True
2026-03-03 23:01:00,Garden Bar,Bacardi White,Rum,750,0,6750,1532,5218,1532,0,2026-03-03,Tuesday,True
2026-03-03 23:07:00,Garden Bar,Bacardi White,Rum,750,5218,0,433,4785,433,0,2026-03-03,Tuesday,True
2026-03-04 17:52:00,Garden Bar,Bacardi White,Rum,750,3270,0,165,3105,165,0,2026-03-04,Wednesday,True
2026-03-04 18:31:00,Garden Bar,Bacardi White,Rum,750,4785,0,1515,3270,1515,0,2026-03-04,Wednesday,True
2026-03-04 21:22:00,Garden Bar,Bacardi White,Rum,750,3105,0,615,2490,615,0,2026-03-04,Wednesday,True
2026-03-05 15:58:00,Garden Bar,Bacardi White,Rum,750,16915,0,188,16727,188,0,2026-03-05,Thursday,True
2026-03-05 20:42:00,Garden Bar,Bacardi White,Rum,750,16727,0,288,16439,288,0,2026-03-05,Thursday,True
2026-03-05 21:00:00,Garden Bar,Bacardi White,Rum,750,18203,0,1288,16915,1288,0,2026-03-05,Thursday,True
2026-03-05 21:00:00,Garden Bar,Bacardi White,Rum,750,16439,0,318,16121,318,0,2026-03-05,Thursday,True
2026-03-05 21:25:00,Garden Bar,Bacardi White,Rum,750,2490,15750,37,18203,37,0,2026-03-05,Thursday,True
2026-03-06 14:26:00,Garden Bar,Bacardi White,Rum,750,16121,0,1012,15109,1012,0,2026-03-06,Friday,True
2026-03-06 16:06:00,Garden Bar,Bacardi White,Rum,750,15109,0,296,14813,296,0,2026-03-06,Friday,True
2026-03-06 19:24:00,Garden Bar,Bacardi White,Rum,750,14813,0,1756,13057,1756,0,2026-03-06,Friday,True
2026-03-07 13:02:00,Garden Bar,Bacardi White,Rum,750,13057,0,1402,11655,1402,0,2026-03-07,Saturday,True
2026-03-07 20:30:00,Garden Bar,Bacardi White,Rum,750,11655,0,993,10662,993,0,2026-03-07,Saturday,True
2026-03-08 13:53:00,Garden Bar,Bacardi White,Rum,750,10662,0,241,10421,241,0,2026-03-08,Sunday,True
2026-03-08 18:19:00,Garden Bar,Bacardi White,Rum,750,9660,0,1493,8167,1493,0,2026-03-08,Sunday,True
2026-03-08 20:32:00,Garden Bar,Bacardi White,Rum,750,10421,0,761,9660,761,0,2026-03-08,Sunday,True
2026-03-09 10:49:00,Garden Bar,Bacardi White,Rum,750,8167,0,489,7678,489,0,2026-03-09,Monday,True
2026-03-09 21:10:00,Garden Bar,Bacardi White,Rum,750,7678,0,1178,6500,1178,0,2026-03-09,Monday,True
2026-03-09 21:19:00,Garden Bar,Bacardi White,Rum,750,6500,0,128,6372,128,0,2026-03-09,Monday,True
2026-03-10 10:40:00,Garden Bar,Bacardi White,Rum,750,6372,0,874,5498,874,0,2026-03-10,Tuesday,True
2026-03-10 22:33:00,Garden Bar,Bacardi White,Rum,750,5498,0,323,5175,323,0,2026-03-10,Tuesday,True
2026-03-10 22:35:00,Garden Bar,Bacardi White,Rum,750,5175,0,524,4651,524,0,2026-03-10,Tuesday,True
2026-03-11 10:10:00,Garden Bar,Bacardi White,Rum,750,3809,0,439,3370,439,0,2026-03-11,Wednesday,True
2026-03-11 13:53:00,Garden Bar,Bacardi White,Rum,750,4651,0,842,3809,842,0,2026-03-11,Wednesday,True
2026-03-11 18:22:00,Garden Bar,Bacardi White,Rum,750,3370,0,379,2991,379,0,2026-03-11,Wednesday,True
2026-03-12 10:32:00,Garden Bar,Bacardi White,Rum,750,1373,0,581,792,581,0,2026-03-12,Thursday,True
2026-03-12 12:00:00,Garden Bar,Bacardi White,Rum,750,2212,0,839,1373,839,0,2026-03-12,Thursday,True
